# report	pdf	html	format	date — written by generate-pdf.mjs, do not edit
012	output/cv-zezhou-guo-tesla-nmc-2026-06-29.pdf	output/cv-zezhou-guo-tesla-nmc-2026-06-29.html	a4	2026-07-06
017	output/cv-zezhou-guo-tesla-cell-electrolyte-2026-07-03.pdf	output/cv-zezhou-guo-tesla-cell-electrolyte-2026-07-03.html	letter	2026-07-07
028	output/cv-zezhou-guo-whoop-senior-battery-engineer-2026-07-07.pdf	output/cv-zezhou-guo-whoop-senior-battery-engineer.html	letter	2026-07-07
	output/whoop-senior-battery-engineer-cover.pdf		a4	2026-07-07
027	output/cv-zezhou-guo-south8-battery-scientist-2026-07-07.pdf	output/cv-zezhou-guo-south8-battery-scientist.html	letter	2026-07-07
040	output/cv-zezhou-guo-amazon-quantum-matchar-2026-07-07.pdf	output/cv-zezhou-guo-amazon-quantum-matchar.html	letter	2026-07-07
	output/south8-battery-scientist-cover.pdf		a4	2026-07-07
	output/amazon-quantum-matchar-cover.pdf		a4	2026-07-07
063	output/cv-zezhou-guo-enervenue-electrode-materials-2026-07-07.pdf	output/cv-zezhou-guo-enervenue-electrode-materials.html	letter	2026-07-07
	output/enervenue-electrode-materials-cover.pdf	output/enervenue-electrode-materials-cover.html	letter	2026-07-07
064	output/cv-zezhou-guo-gm-ppu-2026-07-08.pdf	output/cv-zezhou-guo-gm-ppu.html	letter	2026-07-08
	output/gm-ppu-es-battery-cell-engineer-cover.pdf		a4	2026-07-08
030	output/cv-zezhou-guo-exxonmobil-anode-pde-2026-07-08.pdf	output/cv-zezhou-guo-exxonmobil-anode-pde.html	letter	2026-07-08
065	output/cv-zezhou-guo-exxonmobil-sr-cad-2026-07-08.pdf	output/cv-zezhou-guo-exxonmobil-sr-cad.html	letter	2026-07-08
066	output/cv-zezhou-guo-exxonmobil-cad-2026-07-08.pdf	output/cv-zezhou-guo-exxonmobil-cad.html	letter	2026-07-08
	output/exxonmobil-anode-pde-cover.pdf		a4	2026-07-08
	output/exxonmobil-sr-cad-cover.pdf		a4	2026-07-08
	output/exxonmobil-cad-cover.pdf		a4	2026-07-08
067	output/applied-materials-process-eng-cover.pdf	output/applied-materials-process-eng-cover.html	letter	2026-07-08
044	output/cv-zezhou-guo-arcturus-2026-07-08.pdf	output/cv-zezhou-guo-arcturus.html	letter	2026-07-08
	output/arcturus-founding-scientist-cover.pdf	output/arcturus-founding-scientist-cover.html	letter	2026-07-08
041	output/cv-zezhou-guo-magic-leap-2026-07-08.pdf	output/cv-zezhou-guo-magic-leap.html	letter	2026-07-08
	output/magic-leap-metrology-cover.pdf	output/magic-leap-metrology-cover.html	letter	2026-07-08
069	output/cv-zezhou-guo-ford-staff-battery-pack-engineer-2026-07-08.pdf	output/cv-zezhou-guo-ford-staff-battery-pack-engineer.html	letter	2026-07-08
071	output/cv-zezhou-guo-ford-senior-battery-validation-engineer-2026-07-08.pdf	output/cv-zezhou-guo-ford-senior-battery-validation-engineer.html	letter	2026-07-08
079	output/cv-zezhou-guo-nth-cycle-senior-electrochemical-engineer-2026-07-09.pdf	output/cv-zezhou-guo-nth-cycle-senior-electrochemical-engineer.html	letter	2026-07-09
070	output/cv-zezhou-guo-toyota-research-institute-senior-research-scientist-2026-07-08.pdf	output/cv-zezhou-guo-toyota-research-institute-senior-research-scientist.html	letter	2026-07-09
076	output/cv-zezhou-guo-sila-staff-battery-engineer-2026-07-08.pdf	output/cv-zezhou-guo-sila-staff-battery-engineer.html	letter	2026-07-09
	output/sila-staff-battery-engineer-cover.pdf		letter	2026-07-09
	output/nth-cycle-senior-electrochemical-engineer-cover.pdf		a4	2026-07-09
084	output/cv-zezhou-guo-stellantis-cell-design-innovation-engineer-2026-07-09.pdf	output/cv-zezhou-guo-stellantis-cell-design-innovation-engineer.html	letter	2026-07-09
	output/stellantis-cell-design-innovation-engineer-cover.pdf		letter	2026-07-09
071	output/ford-senior-battery-validation-engineer-cover.pdf		a4	2026-07-09
088	output/cv-zezhou-guo-ulri-research-scientist-iii-electrochemical-safety-2026-07-09.pdf	output/cv-zezhou-guo-ulri-research-scientist-iii-electrochemical-safety-2026-07-09.html	letter	2026-07-09
	output/ulri-research-scientist-iii-electrochemical-safety-cover.pdf		a4	2026-07-09
075	output/sila-senior-battery-engineer-cover.pdf	output/sila-senior-battery-engineer-cover.html	letter	2026-07-09
